ID,slng,slat,elng,elat,duration,distance,elevation_difference,temperature,windSpeed,day_week,hour_day,restaurant,public facility,medical,accommodation,tourist attraction,transportation,education,TripType
130,8.516692,47.389777,8.544935,47.366752,865,3328,-5,6,13,1,16,5,1,2,0,0,5,0,1
131,8.486002,47.396401,8.505698,47.391796,1353,1569,-1,5,11,1,16,0,0,0,0,0,1,0,1
132,8.512381,47.393409,8.527138,47.387531,482,1289,-7,10,11,1,17,0,1,0,0,0,0,0,1
133,8.546464,47.403822,8.506823,47.407812,1199,3016,-57,4,7,1,13,4,2,0,0,0,1,1,1
134,8.554114,47.365119,8.531836,47.378548,645,2246,23,-3,2,1,7,0,0,0,0,0,1,1,1
135,8.539046,47.368064,8.533314,47.37311,385,708,6,12,13,0,11,1,1,0,0,0,2,0,1
136,8.531836,47.378548,8.520449,47.388151,595,1369,0,0,2,0,7,3,3,0,0,0,0,0,1
137,8.533736,47.366904,8.541239,47.375991,157,1158,2,3,0,1,23,6,2,0,0,0,0,0,1
138,8.505698,47.391796,8.491061,47.392336,478,1103,4,11,11,1,16,0,0,0,0,0,1,0,1
139,8.547904,47.384902,8.548519,47.376756,334,907,28,8,13,0,14,1,2,0,0,0,3,1,1
140,8.525782,47.365194,8.533314,47.37311,392,1047,7,11,6,0,16,1,1,0,0,0,2,0,1
141,8.560922,47.361907,8.535082,47.345248,2730,2687,37,5,19,1,7,0,1,0,0,0,0,0,1
142,8.52174,47.365272,8.53001,47.372475,434,1015,3,5,17,1,8,3,1,1,0,0,0,0,1
143,8.523548,47.371666,8.52174,47.365272,538,724,-3,9,24,0,19,0,1,0,0,0,0,0,1
144,8.543447,47.375933,8.523549,47.392347,686,2361,3,6,17,0,17,0,2,0,0,0,1,0,1
145,8.533647,47.39808,8.541251,47.378982,612,2199,64,5,20,0,14,0,3,0,0,0,2,0,1
146,8.62726,47.40245,8.604951,47.404646,1349,1697,5,12,24,0,15,0,0,0,0,0,1,0,1
147,8.525602,47.374241,8.536068,47.377502,299,868,4,8,9,1,16,1,8,0,0,0,0,0,1
148,8.528553,47.37423,8.560922,47.361907,1584,2796,-26,5,11,1,16,2,1,0,0,0,2,0,1
149,8.536433,47.388689,8.531935,47.384918,220,539,22,7,7,0,16,0,5,0,0,0,4,0,1
150,8.486002,47.396401,8.544935,47.366752,3269,5528,-11,7,13,0,10,5,1,2,0,0,5,0,1
151,8.520449,47.388151,8.524762,47.385718,190,423,-4,3,7,0,23,0,0,0,0,0,0,1,1
